Model,Dataset,Accuracy,Precision,Recall,F1,ROC-AUC,Train Time,Inference Time
Logistic Regression,MRPC,0.7279411764705882,0.723404255319149,0.974910394265233,0.8305343511450382,0.6758634102970187,0.03656619996763766,0.0009960001334547997
Logistic Regression,PAWS,0.5565,0.4976911236531555,0.2740887256287087,0.3534985422740525,0.5480971027736601,0.6951190999243408,0.009174800012260675
Logistic Regression,QQP,0.7675488498639624,0.7228494842011209,0.597850184749748,0.654434475658185,0.8364359245899912,3.161926100030541,0.008340599946677685
SBERT + Logistic Regression,MRPC,0.6299019607843137,0.7206896551724138,0.7491039426523297,0.7346221441124781,0.5612792086910616,0.7937600000295788,0.003465499961748719
SBERT + Logistic Regression,PAWS,0.558625,0.5026845637583892,0.211641706696807,0.2978723404255319,0.5388985790574923,2.329358899965882,0.02262350008822978
SBERT + Logistic Regression,QQP,0.7174622804847886,0.6624741880983668,0.4741686261336917,0.5527232859548142,0.7503524187163899,36.02824830007739,0.1547638000920415
